,blockF,blockT,Trips_median,Trips_mean,Trips_sum,dist,x_f,y_f,x_t,y_t,placeF,placeT,Lat_from,Lon_from,Lat_to,Lon_to,network_node_id_ori,network_node_id_dest,driving_dist,driving_time,Walk_to_start_time,Walk_from_end_time,In_vehicle_time
840,23,67.0,1.0,1.0909090909090908,12,45757.860708327855,625029.4421682991,4366603.448344395,619245.4696396783,4411604.90880525,Palermo,Magalia,39.43991500090725,-121.54709499995363,39.84609480327903,-121.60617294015454,86450228.0,86482993.0,53077.875,42.991666666666674,7.346374519924336,4.720339422652996,
841,23,68.0,1.5,1.5,3,43271.854344631545,623479.0702496571,4364554.844166638,619715.3344814542,4407388.064281691,Palermo,Magalia,39.42168509202346,-121.56548430724025,39.808045968611495,-121.60145286287576,86583466.0,86440282.0,50531.109000000004,39.58166666666667,20.158360299039664,13.654848675285939,
842,23,69.0,1.0,1.0,3,38349.06531846837,620085.3048773903,4366788.1210243385,613572.787673357,4404407.04362168,Palermo,Butte Creek Canyon,39.44228194091616,-121.60449885806382,39.78203645974948,-121.6737090995746,86442164.0,86516910.0,58465.88700000002,43.81499999999999,12.372189056193507,55.885386795662164,
843,23,74.0,1.0,1.0,2,30792.508993128657,627957.9058586701,4368445.642809039,622198.9914721306,4398694.832670692,Palermo,Paradise,39.45607878303603,-121.51272236221607,39.729389573989145,-121.57406314598133,86588119.0,86398387.0,36936.61299999998,26.596666666666664,14.80775865442656,45.82798913275948,
844,24,1.0,35.0,54.23076923076923,2115,49362.83417279391,637890.8015403633,4368984.638035031,599481.4338257202,4399873.516639988,Rackerby,Chico,39.45940008705939,-121.39719999799216,39.742960848818406,-121.83891853298502,86453777.0,86449666.0,59837.64200000001,45.421666666666674,90.0677655653503,0.30136755845528934,
845,24,2.0,104.0,141.82051282051282,5531,14743.392881218197,637890.8015403633,4368984.628466181,624312.6361021013,4374459.165362469,Rackerby,Oroville,39.45940000087171,-121.39719999996937,39.5107810436062,-121.55395756409023,86453777.0,86470874.0,23397.310999999998,23.46500000000001,90.06783935613926,2.0015258408577945,
846,24,4.0,8.0,8.846153846153847,345,27640.803019546816,637890.6692685022,4368984.647603882,610729.7500153537,4363612.846822222,Rackerby,Biggs,39.45940019443365,-121.39720153293815,39.41493126727828,-121.71371828746979,86453777.0,86461557.0,44051.73600000001,40.44000000000001,90.06649329469873,3.203248074114521,
847,24,5.0,6.0,6.297297297297297,233,28074.33719799043,637890.8015403633,4368984.628466181,612346.0277340998,4357338.472864727,Rackerby,Gridley,39.45940000087171,-121.39719999996937,39.35820000085629,-121.69599999997953,86453777.0,86505272.0,48013.526,43.57999999999999,90.06783935613926,10.03449234676061,
848,24,6.0,14.0,14.76923076923077,576,4403.5430646970735,650339.2596729628,4360649.660211263,648900.3581507701,4357708.887563322,Rackerby,Bangor,39.3822472035549,-121.2544374305101,39.35601001444205,-121.2717903139756,86425698.0,86629693.0,11918.630000000001,11.651666666666669,267.8646878757723,277.3604216811903,
849,24,7.0,2.0,7.304347826086956,168,13547.43342604088,637890.629074504,4368984.647603882,637686.8911222615,4382361.615533844,Rackerby,Berry Creek,39.4594002008717,-121.39720199996935,39.579919446295456,-121.39680102244668,86453777.0,86483225.0,24034.949999999997,25.623333333333335,90.0661291099171,96.24324007848067,3.8833333333333333
850,24,9.0,1.0,1.0,1,61998.52047822796,637890.8015403633,4368984.628466181,649444.456354829,4429897.1033947,Rackerby,Butte Meadows,39.45940000087171,-121.39719999996937,40.006052000958356,-121.24913199995872,86453777.0,86398482.0,113957.10200000001,104.83666666666667,90.06783935613926,415.3432363487118,
851,24,10.0,93.0,80.5945945945946,2982,22281.79242222462,637890.8015403633,4368984.628466181,622328.6508801766,4384930.895904737,Rackerby,Butte Valley,39.45940000087171,-121.39719999996937,39.605392001397355,-121.57510004096466,86453777.0,86380588.0,39961.247,35.99166666666667,90.06783935613926,93.61763018929956,
852,24,12.0,2.0,3.15625,101,4778.678584522408,660102.2977581382,4356127.31080227,662274.5991074634,4357550.6859457055,Rackerby,Clipper Mills,39.33976330371226,-121.1422142592165,39.35217714599877,-121.11667594674432,86629693.0,86370251.0,40532.577999999994,42.47166666666668,394.1263172920344,407.7546051064655,
853,24,13.0,3.0,6.7727272727272725,149,61520.34426223267,637890.8074615148,4368984.628466181,599964.8817594674,4417423.710421098,Rackerby,Cohasset,39.4593999999233,-121.39719993116898,39.90100000094173,-121.83059999998068,86453777.0,8447565685.0,80231.61100000002,62.046666666666674,90.06789300628566,125.46307180830449,
854,24,14.0,1.0,1.3333333333333333,16,33957.114296729575,637890.629074504,4368984.647603882,631076.2243793908,4402250.975836228,Rackerby,Concow,39.4594002008717,-121.39720199996935,39.76010131927795,-121.46979999997112,86453777.0,86374909.0,59485.75299999999,46.78333333333333,90.0661291099171,123.7721472401135,
855,24,15.0,1.0,4.166666666666667,75,37644.83581788596,637890.8015403633,4368984.628466181,605087.6636622192,4387725.71538095,Rackerby,Durham,39.45940000087171,-121.39719999996937,39.632857897557244,-121.77543503063352,86453777.0,86417320.0,52255.29,44.86166666666668,90.06783935613926,30.669966106482164,
856,24,16.0,9.0,10.63157894736842,404,14976.053724459853,637890.8015403633,4368984.628466181,651084.9072685544,4376069.666164827,Rackerby,Forbestown,39.45940000087171,-121.39719999996937,39.520996000881105,-121.24229399996057,86453777.0,86438904.0,23838.266999999993,25.41333333333333,90.06783935613926,226.92826910279348,
857,24,17.0,1.5,1.5,3,60978.7779819352,637890.6292718756,4368984.642819457,615851.977647212,4425841.561472659,Rackerby,Forest Ranch,39.459400157746245,-121.39720199866461,39.974800000953586,-121.6432999999759,86453777.0,86494938.0,88290.83400000005,66.22666666666663,90.06616779421545,171.10408721198834,
858,24,18.0,1.0,1.2,6,21867.65374647064,639472.0646969122,4366688.265895552,621207.2196043936,4354702.467394531,Rackerby,Honcut,39.438461827389744,-121.37930642786691,39.333256860755824,-121.59365221846717,2413590044.0,86456788.0,34499.27600000001,28.821666666666665,122.41656251178551,69.24635239946019,
859,24,19.0,23.0,25.871794871794872,1009,9967.76642223482,637890.6292718756,4368984.646680984,631843.80376412,4376435.61705568,Rackerby,Kelly Ridge,39.45940019252744,-121.3972019978667,39.52746107390749,-121.46598968605566,86453777.0,86552398.0,17004.253999999997,17.236666666666665,90.06613801533756,5.606305011178163,3.8833333333333333
860,24,21.0,1.0,1.25,5,59559.136050811285,637890.8015403633,4368984.628466181,589367.2439378762,4403520.914379944,Rackerby,Nord,39.45940000087171,-121.39719999996937,39.77693972120029,-121.95644933963413,86453777.0,86420660.0,71852.129,55.12666666666667,90.06783935613926,62.434697736257405,
861,24,22.0,425.0,365.6666666666667,14261,6991.520847923937,637890.8015403633,4368984.628466181,631591.0398333875,4372017.130555054,Rackerby,Oroville East,39.45940000087171,-121.39719999996937,39.48770100099154,-121.469803008739,86453777.0,86387181.0,15241.963999999998,17.60333333333333,90.06783935613926,22.90423826253918,
862,24,23.0,31.0,31.897435897435894,1244,13471.413947547,637890.8015403633,4368984.628466181,625037.6445399341,4366072.381918289,Rackerby,Palermo,39.45940000087171,-121.39719999996937,39.43513008379079,-121.54709911276919,86453777.0,86450302.0,28227.65199999999,30.078333333333333,90.06783935613926,4.415033271773093,
863,24,25.0,1.0,1.125,9,30400.95966179286,638043.592030074,4368970.975573869,607940.7139237794,4372328.522371397,Rackerby,Richvale,39.45925254118764,-121.39542748737799,39.49380000087723,-121.7446999999802,86453777.0,86493375.0,39972.594999999994,37.46166666666669,91.56353324029836,111.33435279583475,
864,24,26.0,5.0,6.486486486486487,240,9794.693328542156,637892.9465078809,4368984.647603882,647573.4734658021,4370109.341893,Rackerby,Robinson Mill,39.45939982967541,-121.3971750727225,39.46792452927434,-121.28444859717541,86453777.0,86421102.0,14928.206999999997,17.53833333333333,90.08712834979842,189.09884560488715,
865,24,27.0,21.0,22.82051282051282,890,12678.03643903356,637890.8015403633,4368984.628466181,625354.3459280902,4370436.8000253085,Rackerby,South Oroville,39.45940000087171,-121.39719999996937,39.47439757152578,-121.54260058813227,86453777.0,86426608.0,23572.093999999997,26.34,90.06783935613926,10.338626526396371,
866,24,29.0,249.0,320.3076923076923,12492,24554.45008994905,637890.8015403633,4368984.628466181,613786.8604073067,4373666.619610336,Rackerby,Thermalito,39.45940000087171,-121.39719999996937,39.50510000087896,-121.67649999997856,86453777.0,86493137.0,35148.46199999999,32.801666666666684,90.06783935613926,82.8176274643,
867,24,30.0,1.0,1.0,2,30176.34912149173,637890.629074504,4368984.647603882,627388.6646377516,4397265.684627357,Rackerby,Yankee Hill,39.4594002008717,-121.39720199996935,39.715757439219225,-121.51380018110828,86453777.0,86522641.0,52898.81599999999,41.07666666666666,90.0661291099171,107.19613100707797,
868,24,32.0,18.0,25.97435897435897,1013,37727.726730097966,637890.629074504,4368984.647603882,619751.8573041337,4402065.85560606,Rackerby,Paradise,39.4594002008717,-121.39720199996935,39.76010130091902,-121.60199699997557,86453777.0,86518780.0,54807.92200000002,45.100000000000016,90.0661291099171,3.812127572484039,
869,24,33.0,2.5,3.6818181818181817,81,37474.42143207449,637890.629074504,4368984.647603882,619341.8211983179,4401546.496262105,Rackerby,Paradise,39.4594002008717,-121.39720199996935,39.75548071617933,-121.60687677053434,86453777.0,86430226.0,53970.96200000002,44.09,90.0661291099171,2.9492250892513385,
870,24,34.0,3.0,7.483870967741935,232,38670.18157622038,637890.8015403633,4368984.628466181,618954.7590172663,4402710.73170391,Rackerby,Paradise,39.45940000087171,-121.39719999996937,39.766021729435614,-121.61118316647973,86453777.0,86438506.0,55571.04900000003,46.07833333333334,90.06783935613926,2.927115785119947,
871,24,35.0,2.0,2.4166666666666665,58,38979.03975155423,637890.629074504,4368984.647603882,617946.773411787,4402373.670158833,Rackerby,Paradise,39.4594002008717,-121.39720199996935,39.76312583392266,-121.62300884560936,86453777.0,86466805.0,56334.17800000002,46.965,90.0661291099171,1.5608651813519714,
