,blockF,blockT,Trips_median,Trips_mean,Trips_sum,dist,x_f,y_f,x_t,y_t,placeF,placeT
636,18,23.0,3.0,3.388888888888889,122,8855.123384990105,621500.2225284348,4355077.296233887,623249.0711438664,4362447.051833596,Honcut,Palermo
637,18,24.0,1.0,1.2,6,21867.65374647064,628475.9635534447,4354087.279405671,645403.8451410763,4362390.269050531,Honcut,Rackerby
638,18,25.0,1.0,1.0,2,23307.597561442144,617882.1790965439,4351518.665545184,607574.5990177847,4372422.298642933,Honcut,Richvale
639,18,26.0,1.0,1.0,1,22573.69591412822,626877.5560418847,4358783.544415929,644426.0490704596,4372982.915516425,Honcut,Robinson Mill
640,18,27.0,1.0,1.3333333333333333,16,16078.057038724939,625566.5594295606,4354678.483521385,624924.085387697,4370916.338486078,Honcut,South Oroville
641,18,29.0,1.0,1.2,12,16685.082043039867,622272.4740954494,4356725.234926152,619927.2005707255,4373244.667570078,Honcut,Thermalito
642,18,35.0,1.0,1.0,1,51456.13670741773,621122.7071650208,4351203.213338965,618060.0506674653,4402568.12490348,Honcut,Paradise
643,18,36.0,1.0,1.0,1,52136.50360265539,621146.1418331349,4350722.880790612,617449.2727925684,4402728.151362032,Honcut,Paradise
644,18,40.0,1.0,1.0,1,45084.056564386054,620723.1058915894,4355468.487809733,620866.8995100919,4400552.31506182,Honcut,Paradise
645,18,41.0,1.0,1.0,2,55986.20663064292,628131.9043360606,4351819.167875003,621598.1342166194,4407420.688067268,Honcut,Magalia
646,18,49.0,1.0,1.0,1,50002.515425583035,620670.2542058504,4354702.60118603,620312.0075811557,4404703.833253265,Honcut,Paradise
647,18,52.0,1.0,1.0,2,51807.72367301688,621105.6527213424,4351448.638124114,620396.3788373191,4403251.506371421,Honcut,Paradise
648,18,53.0,1.0,1.0,1,48292.68138540843,628564.0784335576,4357062.724965098,621009.9000029059,4404760.916373478,Honcut,Paradise
649,18,68.0,1.0,1.0,1,50697.49119992124,620538.4816755437,4356502.302455312,619980.195373331,4407196.719607212,Honcut,Magalia
